year,month,state,gender,value
2036,March,Manipur,Female,645
2036,March,Maharashtra,Total,71225
2036,March,Maharashtra,Male,37428
2036,March,Maharashtra,Female,33797
2036,March,Madhya Pradesh,Total,29730
2036,March,Madhya Pradesh,Male,15501
2036,March,Madhya Pradesh,Female,14229
2036,March,Lakshadweep,Total,71
2036,March,Lakshadweep,Male,37
2036,March,Lakshadweep,Female,34
2036,March,Ladakh,Total,129
2036,March,Ladakh,Male,85
2036,March,Ladakh,Female,44
2036,March,Kerala,Total,35630
2036,March,Kerala,Male,17040
2036,March,Kerala,Female,18590
2036,March,Karnataka,Total,36511
2036,March,Karnataka,Male,18600
2036,March,Karnataka,Female,17911
2036,March,Jharkhand,Total,12816
2036,March,Jharkhand,Male,6710
2036,March,Jharkhand,Female,6106
2036,March,Jammu and Kashmir,Total,5005
2036,March,Jammu and Kashmir,Male,2710
2036,March,Jammu and Kashmir,Female,2295
2036,March,Himachal Pradesh,Total,827
2036,March,Himachal Pradesh,Male,446
2036,March,Himachal Pradesh,Female,381
2036,March,Haryana,Total,17094
2036,March,Haryana,Male,9127
2036,March,Haryana,Female,7967
2036,March,Gujarat,Total,44717
2036,March,Gujarat,Male,23786
2036,March,Gujarat,Female,20931
2036,March,Goa,Total,1467
2036,March,Goa,Male,750
2036,March,Goa,Female,717
2036,March,Delhi,Total,26591
2036,March,Delhi,Male,14235
2036,March,Delhi,Female,12356
2036,March,Daman and Diu,Total,1955
2036,March,Daman and Diu,Male,1659
2036,March,Daman and Diu,Female,296
2036,March,Dadra and Nagar Haveli,Total,1374
2036,March,Dadra and Nagar Haveli,Male,817
2036,March,Dadra and Nagar Haveli,Female,557
2036,March,Chhattisgarh,Total,10660
2036,March,Chhattisgarh,Male,5450
2036,March,Chhattisgarh,Female,5210
2036,March,Chandigarh,Total,1360
2036,March,Chandigarh,Male,746
2036,March,Chandigarh,Female,614
2036,March,Bihar,Total,19741
2036,March,Bihar,Male,10417
2036,March,Bihar,Female,9324
2036,March,Assam,Total,6762
